Name,Distance,Link,Address,Phone Number
"Lake Forest Place Independent Living, a CCRC",1.8,https://www.aplaceformom.com/community/lake-forest-place-independent-living-a-ccrc-95478,"1100 Pembridge Dr., Lake Forest, IL 60045",(866) 896-1347
"The Admiral at the Lake, a CCRC",20.6,https://www.aplaceformom.com/community/the-admiral-at-the-lake-a-ccrc-1359480,"929 W Foster Ave, Chicago, IL 60640",(866) 896-1347
Encore at Crystal Lake,25.4,https://www.aplaceformom.com/community/encore-at-crystal-lake-146123,"495 Alexandra Blvd, Crystal Lake, IL 60014",(866) 896-1347
Azura Memory Care of Oak Creek,45.0,https://www.aplaceformom.com/community/azura-memory-care-of-oak-creek-1401680,"8772 S Mayhew Dr, Oak Creek, WI 53154",(866) 896-1347
Clarendale of Algonquin,24.8,https://www.aplaceformom.com/community/clarendale-of-algonquin-1395660,"2001 W Algonquin Rd, Algonquin, IL 60102",(866) 896-1347
Brookdale Des Plaines,13.9,https://www.aplaceformom.com/community/brookdale-des-plaines-68538,"800 South River Road, Des Plaines, IL 60016",(866) 896-1347
Brookdale Hoffman Estates,19.9,https://www.aplaceformom.com/community/brookdale-hoffman-estates-68612,"1515 Barrington Road, Hoffman Estates, IL 60169",(866) 896-1347
Encore at South Barrington,20.4,https://www.aplaceformom.com/community/encore-at-south-barrington-1369029,"215 Bartlett Rd, South Barrington, IL 60010",(866) 896-1347
Brookdale Glen Ellyn,28.1,https://www.aplaceformom.com/community/brookdale-glen-ellyn-89485,"60 North Nicoll Avenue, Glen Ellyn, IL 60137",(866) 896-1347
Green Oaks Senior Living,4.5,https://www.aplaceformom.com/community/green-oaks-senior-living-1383710,"14595 W Rockland Rd, Libertyville, IL 60048",(866) 896-1347
Clarendale of Mokena,48.6,https://www.aplaceformom.com/community/clarendale-of-mokena-1381423,"21536 South Wolf Road, Mokena, IL 60448",(866) 896-1347
Brookdale Northbrook,10.1,https://www.aplaceformom.com/community/brookdale-northbrook-102355,"4501 Concord Lane, Northbrook, IL 60062",(866) 896-1347
Melody Living Lake in the Hills,25.1,https://www.aplaceformom.com/community/melody-living-lake-in-the-hills-1441565,"525 Harvest Gate Rd, Lake in the Hills, IL 60156",(866) 896-1347
Brookdale Lisle,33.3,https://www.aplaceformom.com/community/brookdale-lisle-89650,"1700 Robin Lane, Lisle, IL 60532",(866) 896-1347
Bridgeway of Bensenville a CCRC,20.5,https://www.aplaceformom.com/community/bridgeway-of-bensenville-a-ccrc-89456,"303 E. Washington Street, Bensenville, IL 60106",(866) 896-1347
Belmont Village Lincoln Park,23.9,https://www.aplaceformom.com/community/belmont-village-lincoln-park-1414751,"700 W Fullerton Ave, Chicago, IL 60614",(866) 896-1347
StoryPoint Libertyville,5.0,https://www.aplaceformom.com/community/story-point-libertyville-94990,"901 Florsheim Rd, Libertyville, IL 60048",(866) 896-1347
StoryPoint Naperville,35.8,https://www.aplaceformom.com/community/story-point-naperville-94989,"504 N River Rd, Naperville, IL 60563",(866) 896-1347
Mercy Circle Senior Living,37.0,https://www.aplaceformom.com/community/mercy-circle-senior-living-1401771,"3659 W 99th Pl, Chicago, IL 60655",(866) 896-1347
Heartis Village Orland Park,43.9,https://www.aplaceformom.com/community/heartis-village-orland-park-1409696,"7420 West 159th Street, Orland Park, IL 60462",(866) 896-1347
The Carrington at Lincolnwood,17.3,https://www.aplaceformom.com/community/the-carrington-at-lincolnwood-1406169,"3501 Northeast Parkway, Lincolnwood, IL 60712",(866) 896-1347
Victory Centre of River Woods,22.8,https://www.aplaceformom.com/community/victory-centre-of-river-woods-98711,"1800 River Woods Drive, Melrose Park, IL 60160",(866) 896-1347
Westbrook Senior Living,22.3,https://www.aplaceformom.com/community/westbrook-senior-living-1374795,"110 W Schaumburg Road, Streamwood, IL 60107",(866) 896-1347
Lombard Place Assisted Living & Memory Care,28.5,https://www.aplaceformom.com/community/lombard-place-assisted-living-memory-care-1374793,"300 West 22nd St., Lombard, IL 60148",(866) 896-1347
Maple Glen Memory Care,30.2,https://www.aplaceformom.com/community/maple-glen-memory-care-1395435,"750 S Park Blvd, Glen Ellyn, IL 60137",(866) 896-1347
The Auberge at Highland Park,4.4,https://www.aplaceformom.com/community/the-auberge-at-highland-park-1357555,"1651 Richfield Avenue, Highland Park, IL 60035",(866) 896-1347
North Shore Place,7.8,https://www.aplaceformom.com/community/north-shore-place-1369418,"1000 Sunset Ridge Road, Northbrook, IL 60062",(866) 896-1347
Brookdale Oak Park,24.1,https://www.aplaceformom.com/community/brookdale-oak-park-68620,"1111 Ontario Street, Oak Park, IL 60302",(866) 896-1347
Dimensions Living Burr Ridge,32.9,https://www.aplaceformom.com/community/dimensions-living-burr-ridge-89638,"6801 High Grove Blvd, Burr Ridge, IL 60527",(866) 896-1347
Charter Senior Living of Glen Ellyn,26.9,https://www.aplaceformom.com/community/charter-senior-living-of-glen-ellyn-1381362,"190 Geneva Road, Glen Ellyn, IL 60137",(866) 896-1347
Cedar Lake Assisted Living & Memory Care,12.1,https://www.aplaceformom.com/community/cedar-lake-assisted-living-memory-care-1365081,"777 Church Street, Lake Zurich, IL 60047",(866) 896-1347
Silver Glen Senior Living,28.5,https://www.aplaceformom.com/community/silver-glen-senior-living-1438090,"1901 Silver Glen Rd, South Elgin, IL 60177",(866) 896-1347
The Waters of Oak Creek,45.0,https://www.aplaceformom.com/community/the-waters-of-oak-creek-1406448,"S 8000 Market Street, Oak Creek, WI 53154",(866) 896-1347
Azura Memory Care of Kenosha,24.8,https://www.aplaceformom.com/community/azura-memory-care-of-kenosha-98497,"4600 52nd Avenue, Kenosha, WI 53144",(866) 896-1347
Sunrise at Fountain Square,28.1,https://www.aplaceformom.com/community/sunrise-at-fountain-square-150493,"2210 Fountain Square Drive, Lombard, IL 60148",(866) 896-1347
Arden Courts of Geneva,34.5,https://www.aplaceformom.com/community/arden-courts-of-geneva-68591,"2388 Bricher Road, Geneva, IL 60134",(866) 896-1347
Palos Heights Senior Living,38.9,https://www.aplaceformom.com/community/palos-heights-senior-living-1411247,"7100 West College Drive, Palos Heights, IL 60463",(866) 896-1347
Plum Creek Supportive Living Community,15.0,https://www.aplaceformom.com/community/plum-creek-supportive-living-community-101955,"2801 Algonquin Rd, Rolling Meadows, IL 60008",(866) 896-1347
Arden Courts of South Holland,47.3,https://www.aplaceformom.com/community/arden-courts-of-south-holland-68660,"2045 E 170th Street, South Holland, IL 60473",(866) 896-1347
Sunrise of Gurnee,10.8,https://www.aplaceformom.com/community/sunrise-of-gurnee-97202,"500 North Hunt Club Road, Gurnee, IL 60031",(866) 896-1347
Autumn Green at Wright Campus,19.5,https://www.aplaceformom.com/community/autumn-green-at-wright-campus-139184,"4239 North Oak Park Avenue, Chicago, IL 60634",(866) 896-1347
Terra Vista of Oakbrook Terrace,27.0,https://www.aplaceformom.com/community/terra-vista-of-oakbrook-terrace-1381402,"1635 S Ardmore Ave, Oakbrook Terrace, IL 60181",(866) 896-1347
Brookdale Vernon Hills,4.8,https://www.aplaceformom.com/community/brookdale-vernon-hills-97380,"145 North Milwaukee Avenue, Vernon Hills, IL 60061",(866) 896-1347
The Oaks at Algonquin (Now Open),26.1,https://www.aplaceformom.com/community/the-oaks-at-algonquin-now-open-1438738,"2595 Harnish Dr, Algonquin, IL 60102",(866) 896-1347
Atria Park of Glen Ellyn,28.0,https://www.aplaceformom.com/community/atria-park-of-glen-ellyn-89487,"95 Carleton Avenue, Glen Ellyn, IL 60137",(866) 896-1347
Kenosha Place Senior Living,24.5,https://www.aplaceformom.com/community/kenosha-place-senior-living-1410590,"5048 Green Bay Rd, Kenosha, WI 53144",(866) 213-1272
New Perspective Long Grove,11.1,https://www.aplaceformom.com/community/new-perspective-long-grove-1401517,"2300 IL-53, Long Grove, IL 60047",(866) 213-1272
Burr Ridge Senior Living,35.9,https://www.aplaceformom.com/community/burr-ridge-senior-living-1411246,"16W301 91st Street, Burr Ridge, IL 60527",(866) 896-1347
The Cottages of Fox Lake,19.9,https://www.aplaceformom.com/community/the-cottages-of-fox-lake-101989,"16 Lilac Ave, Fox Lake, IL 60020",(866) 213-1272
The Pointe at Eastgate,22.9,https://www.aplaceformom.com/community/the-pointe-at-eastgate-97348,"101 Eastgate Ct, Algonquin, IL 60102",(866) 213-1272
Artis Senior Living of Lakeview,22.2,https://www.aplaceformom.com/community/artis-senior-living-of-lakeview-1413973,"3535 N Ashland Ave, Chicago, IL 60657",(866) 896-1347
Aspired Living of Prospect Heights,10.0,https://www.aplaceformom.com/community/aspired-living-of-prospect-heights-1397161,"708 N Elmhurst Rd, Prospect Heights, IL 60070",(866) 213-1272
Artis Senior Living of Elmhurst,26.4,https://www.aplaceformom.com/community/artis-senior-living-of-elmhurst-1404360,"123 W Brush Hill Rd, Elmhurst, IL 60126",(866) 896-1347
Deer Park Village,12.2,https://www.aplaceformom.com/community/deer-park-village-1381496,"21840 W Lake Cook Rd, Deer Park, IL 60010",(866) 896-1347
Brookdale Hawthorn Lakes in Vernon Hills Assisted Living,6.0,https://www.aplaceformom.com/community/brookdale-hawthorn-lakes-in-vernon-hills-assisted-living-145100,"10 East Hawthorn Parkway, Vernon Hills, IL 60061",(866) 896-1347
Sunrise of Willowbrook,32.6,https://www.aplaceformom.com/community/sunrise-of-willowbrook-95062,"6300 Clarendon Hills Road, Willowbrook, IL 60527",(866) 896-1347
HarborChase of Naperville,34.1,https://www.aplaceformom.com/community/harbor-chase-of-naperville-1393301,"1619 N. Mill St, Naperville, IL 60563",(866) 213-1272
Clarendale of Addison,22.5,https://www.aplaceformom.com/community/clarendale-of-addison-1421822,"1651 W Lake Street, Addison, IL 60101",(866) 896-1347
Arden Courts of Elk Grove,19.6,https://www.aplaceformom.com/community/arden-courts-of-elk-grove-89781,"1940 Nerge Rd, Elk Grove Village, IL 60007",(866) 896-1347
Belmont Village Geneva Road,27.4,https://www.aplaceformom.com/community/belmont-village-geneva-road-95402,"545 Belmont Lane, Carol Stream, IL 60188",(866) 896-1347
The Fountains of Crystal Lake,22.2,https://www.aplaceformom.com/community/the-fountains-of-crystal-lake-89367,"965 N Brighton Circle W, Crystal Lake, IL 60012",(866) 896-1347
Arbor Terrace Naperville,40.7,https://www.aplaceformom.com/community/arbor-terrace-naperville-1408243,"2920 Leverenz Rd, Naperville, IL 60564",(866) 896-1347
Atria at River Trail,39.4,https://www.aplaceformom.com/community/atria-at-river-trail-1413003,"370 North Weber Road, Bolingbrook, IL 60440",(866) 896-1347
Parkside Manor,23.4,https://www.aplaceformom.com/community/parkside-manor-151784,"6300 67th Street, Kenosha, WI 53142",(866) 896-1347
Grace Point Place Memory Care,36.8,https://www.aplaceformom.com/community/grace-point-place-memory-care-1411912,"5701 W 101st St, Oak Lawn, IL 60453",(866) 896-1347
Arbor Terrace Highland Park,4.3,https://www.aplaceformom.com/community/arbor-terrace-highland-park-1441720,"1000 Central Ave, Highland Park, IL 60035",(866) 896-1347
Brookdale Orland Park,44.2,https://www.aplaceformom.com/community/brookdale-orland-park-89610,"16051 South La Grange Road, Orland Park, IL 60467",(866) 896-1347
Brookdale Lake Shore Drive,23.5,https://www.aplaceformom.com/community/brookdale-lake-shore-drive-68758,"2960 North Lake Shore Drive, Chicago, IL 60657",(866) 896-1347
Sunrise of Flossmoor,49.5,https://www.aplaceformom.com/community/sunrise-of-flossmoor-68631,"19715 Governor Highway, Flossmoor, IL 60422",(866) 896-1347
The Auberge at Lake Zurich,12.4,https://www.aplaceformom.com/community/the-auberge-at-lake-zurich-140326,"555 America Ct, Lake Zurich, IL 60047",(866) 213-1272
Heritage Woods of Huntley,30.7,https://www.aplaceformom.com/community/heritage-woods-of-huntley-152084,"12450 Regency Pkwy, Huntley, IL 60142",(866) 896-1347
Brighton Gardens of Wheaton,30.8,https://www.aplaceformom.com/community/brighton-gardens-of-wheaton-68607,"831 East Butterfield Road, Wheaton, IL 60189",(866) 896-1347
Harbour Village,49.6,https://www.aplaceformom.com/community/harbour-village-67411,"5700 Mockingbird Lane, Greendale, WI 53129",(866) 896-1347
Waverly Inn Memory Care & Cottages,11.0,https://www.aplaceformom.com/community/waverly-inn-memory-care-cottages-1395436,"515 W Rand Rd, Arlington Heights, IL 60004",(866) 896-1347
Waterford Estates Senior Living,46.6,https://www.aplaceformom.com/community/waterford-estates-senior-living-68636,"17400 Kedzie Rd., Hazel Crest, IL 60429",(866) 896-1347
Charter Senior Living of Hazel Crest,47.7,https://www.aplaceformom.com/community/charter-senior-living-of-hazel-crest-1392487,"3701 W 183rd St, Hazel Crest, IL 60429",(866) 896-1347
The Sheridan at Oak Brook,27.1,https://www.aplaceformom.com/community/the-sheridan-at-oak-brook-1449873,"2055 Clearwater Dr, Oak Brook, IL 60523",(866) 896-1347
Ascension Living Fox Knoll Village,40.5,https://www.aplaceformom.com/community/ascension-living-fox-knoll-village-89626,"421 North Lake Street, Aurora, IL 60506",(866) 896-1347
Ascension Living Bethlehem Woods Village,28.8,https://www.aplaceformom.com/community/ascension-living-bethlehem-woods-village-89647,"1571 West Ogden Avenue, La Grange Park, IL 60526",(866) 896-1347
Sunrise of Naperville,35.4,https://www.aplaceformom.com/community/sunrise-of-naperville-89656,"960 East Chicago Avenue, Naperville, IL 60540",(866) 896-1347
Arden Courts of Glen Ellyn,30.3,https://www.aplaceformom.com/community/arden-courts-of-glen-ellyn-89484,"2 South 706 Park Blvd., Glen Ellyn, IL 60137",(866) 896-1347
Charter Senior Living Vernon Hills,6.1,https://www.aplaceformom.com/community/charter-senior-living-vernon-hills-146352,"500 Atrium Dr, Vernon Hills, IL 60061",(866) 896-1347
Brookdale Kenosha,23.4,https://www.aplaceformom.com/community/brookdale-kenosha-72397,"10108 74th Street, Kenosha, WI 53142",(866) 896-1347
"The Oaks at Bartlett, a CCRC",24.7,https://www.aplaceformom.com/community/the-oaks-at-bartlett-a-ccrc-139966,"825 Carillon Dr, Bartlett, IL 60103",(866) 896-1347
Caledonia Senior Living,27.5,https://www.aplaceformom.com/community/caledonia-senior-living-89661,"2800 Des Plaines Ave, North Riverside, IL 60546",(866) 896-1347
Anthology of Wheaton,29.6,https://www.aplaceformom.com/community/anthology-of-wheaton-1397603,"219 Parkway Dr, Wheaton, IL 60187",(866) 896-1347
Belmont Village Oak Park,24.9,https://www.aplaceformom.com/community/belmont-village-oak-park-89541,"1035 Madison Street, Oak Park, IL 60302",(866) 896-1347
Sedgebrook,5.4,https://www.aplaceformom.com/community/sedgebrook-139698,"800 Audubon Way, Lincolnshire, IL 60069",(866) 896-1347
Emerald Place,10.6,https://www.aplaceformom.com/community/emerald-place-1388162,"1879 Chestnut Avenue, Glenview, IL 60025",(866) 896-1347
Harvester Place,33.6,https://www.aplaceformom.com/community/harvester-place-1386329,"150 S Frontage Rd, Burr Ridge, IL 60527",(866) 896-1347
Arden Courts of Palos Heights,38.9,https://www.aplaceformom.com/community/arden-courts-of-palos-heights-68655,"7880 W College Dr, Palos Heights, IL 60463",(866) 896-1347
Artis of Bartlett,26.1,https://www.aplaceformom.com/community/artis-of-bartlett-1409228,"1035 S Route 59, Bartlett, IL 60103",(866) 896-1347
Atrium at Oak Crest Residence,26.5,https://www.aplaceformom.com/community/atrium-at-oak-crest-residence-68586,"204 South State Street, Elgin, IL 60123",(866) 213-1272
Park Place of Elmhurst,26.3,https://www.aplaceformom.com/community/park-place-of-elmhurst-1334829,"1150 Euclid Ave, Elmhurst, IL 60126",(866) 896-1347
Oak Trace a CCRC,33.3,https://www.aplaceformom.com/community/oak-trace-a-ccrc-68675,"200 Village Drive, Downers Grove, IL 60516",(866) 896-1347
The Landing on Dundee Senior Living,7.7,https://www.aplaceformom.com/community/the-landing-on-dundee-senior-living-1386952,"156 W Dundee Rd, Wheeling, IL 60090",(866) 896-1347
The Springs of Vernon Hills,4.8,https://www.aplaceformom.com/community/the-springs-of-vernon-hills-1381157,"350 S Milwaukee Ave, Vernon Hills, IL 60061",(866) 896-1347
Northbrook Inn Memory Care Community,7.8,https://www.aplaceformom.com/community/northbrook-inn-memory-care-community-1379316,"99 Pointe Dr, Northbrook, IL 60062",(866) 896-1347
Alden Gardens of Bloomingdale,23.6,https://www.aplaceformom.com/community/alden-gardens-of-bloomingdale-153947,"285 E Army Trail Rd, Bloomingdale, IL 60108",(866) 896-1347
The Heathers Senior Homes,27.5,https://www.aplaceformom.com/community/the-heathers-senior-homes-1449796,"4570 Princeton Ln, Lake In The Hills, IL 60156",(866) 896-1347
Home Harbor Assisted Living,32.9,https://www.aplaceformom.com/community/home-harbor-assisted-living-87886,"1600 Ohio Street, Racine, WI 53405",(866) 213-1272
Gurnee Place Memory Care,10.4,https://www.aplaceformom.com/community/gurnee-place-memory-care-1387098,"505 N. Hunt Club Road, Gurnee, IL 60031",(866) 896-1347
Celebrate Senior Living of Niles,15.9,https://www.aplaceformom.com/community/celebrate-senior-living-of-niles-89805,"7000 North Newark Avenue, Niles, IL 60714",(866) 213-1272
Amazing Grace Senior Living,17.2,https://www.aplaceformom.com/community/amazing-grace-senior-living-1446501,"7432 W Talcott, Chicago, IL 60631",(866) 213-1272
Silverado St. Charles,32.0,https://www.aplaceformom.com/community/silverado-st-charles-1413606,"4058 E Main S, Saint Charles, IL 60174",(866) 896-1347
Asbury Court Senior Living Community,15.0,https://www.aplaceformom.com/community/asbury-court-senior-living-community-89380,"1750 South Elmhurst Rd, Des Plaines, IL 60018",(866) 896-1347
Willow Falls,49.3,https://www.aplaceformom.com/community/willow-falls-98640,"1681 Willow Circle Dr, Crest Hill, IL 60403",(866) 213-1272
Magnolia Senior Living,30.2,https://www.aplaceformom.com/community/magnolia-senior-living-1361466,"10 N Washington St, Hinsdale, IL 60521",(866) 896-1347
Sunrise Villa Olympia Fields,49.6,https://www.aplaceformom.com/community/sunrise-villa-olympia-fields-72711,"3633 Breakers Dr, Olympia Fields, IL 60461",(866) 213-1272
Sunrise of Crystal Lake,22.8,https://www.aplaceformom.com/community/sunrise-of-crystal-lake-95100,"751 East Terra Cotta Avenue, Crystal Lake, IL 60014",(866) 896-1347
Porter Place Memory Care,46.5,https://www.aplaceformom.com/community/porter-place-memory-care-1388161,"17833 S Harlem Ave, Tinley Park, IL 60477",(866) 213-1272
Sunrise of Highland Park,4.6,https://www.aplaceformom.com/community/sunrise-of-highland-park-99761,"1601 Green Bay Road, Highland Park, IL 60035",(866) 896-1347
The Pointe at Kilpatrick,42.2,https://www.aplaceformom.com/community/the-pointe-at-kilpatrick-1359992,"14230 S Kilpatrick Ave, Crestwood, IL 60418",(866) 213-1272
Belmont Village Glenview,12.7,https://www.aplaceformom.com/community/belmont-village-glenview-96568,"2200 Golf Road, Glenview, IL 60025",(866) 896-1347
Concord Place,23.3,https://www.aplaceformom.com/community/concord-place-89500,"401 W Lake St, Northlake, IL 60164",(866) 896-1347
Sunrise of Schaumburg,17.4,https://www.aplaceformom.com/community/sunrise-of-schaumburg-95102,"790 North Plum Grove Road, Schaumburg, IL 60173",(866) 896-1347
Arden Courts of Northbrook,10.0,https://www.aplaceformom.com/community/arden-courts-of-northbrook-68554,"3240 Milwaukee Ave, Northbrook, IL 60062",(866) 896-1347
Arbor Terrace Glenview,10.4,https://www.aplaceformom.com/community/arbor-terrace-glenview-1421222,"4700 W Lake Ave, Glenview, IL 60025",(866) 896-1347
Belmont Village Buffalo Grove,7.9,https://www.aplaceformom.com/community/belmont-village-buffalo-grove-96569,"500 McHenry Road, Buffalo Grove, IL 60089",(866) 896-1347
Bickford of St. Charles,34.2,https://www.aplaceformom.com/community/bickford-of-st-charles-148191,"2875 Campton Hills Rd., Saint Charles, IL 60175",(866) 896-1347
Heritage Woods of Plainfield,46.7,https://www.aplaceformom.com/community/heritage-woods-of-plainfield-1342870,"14731 S. Van Dyke Rd, Plainfield, IL 60544",(866) 213-1272
Lincolnwood Place,17.3,https://www.aplaceformom.com/community/lincolnwood-place-89800,"7000 North McCormick Boulevard, Lincolnwood, IL 60712",(866) 896-1347
Sunnymere,41.1,https://www.aplaceformom.com/community/sunnymere-68666,"925 Sixth Avenue, Aurora, IL 60505",(866) 896-1347
